Time	Temperature 1	Temperature 2	Temperature 3	Temperature 4
t	Temp 1	Temp 2	Temp 3	Temp 4
min 	°C 	°C 	°C 	°C 
95	67,5674583155	54,0399022564	35,534142589	23,6854702985
95,5	67,6107996322	54,1670857719	35,534142589	23,5691608609
96	67,654188476	54,1352592087	35,5583055208	23,8481830153
96,5	67,654188476	54,1670857719	35,6066461014	23,7086908787
97	67,6976249738	54,0716674926	35,6066461014	23,824968562
97,5	67,7411092533	54,1352592087	35,6550063927	23,7319104094
98	67,7411092533	54,1352592087	35,6550063927	23,7319104094
98,5	67,8282216695	54,2629502491	35,7033865004	23,6622486572
99	67,8718500637	54,1989328609	35,7033865004	23,8713964903
99,5	67,8718500637	54,2308005178	35,7275840184	23,6390259428
100	67,9155267544	54,3267891201	35,7761924923	23,6390259428
100,5	67,9596104745	54,3907109392	35,8004050729	23,824968562
101	68,0033845469	54,3907109392	35,8246226873	24,0106574553
101,5	68,047207308	54,48674994	35,8246226873	23,824968562
102	68,0910788893	54,4547160465	35,8488453487	23,8481830153
102,5	68,0910788893	54,48674994	35,8973058661	23,824968562
103	68,0910788893	54,4227030605	35,9457867319	24,0106574553
103,5	68,1349994227	54,4547160465	35,9457867319	23,5691608609
104	68,1789690405	54,48674994	35,9700348287	23,6854702985
104,5	68,1789690405	54,6153587975	35,9942880528	23,7551289027
105	68,2229878756	54,5508806211	36,0430088387	23,8481830153
105,5	68,2229878756	54,6796584641	36,0672775671	23,6622486572
106	68,2670560614	54,5832406711	36,0672775671	23,7783463702
106,5	68,2670560614	54,5508806211	36,0915514764	23,9178205524
107	68,3111737319	54,6796584641	36,0672775671	23,7783463702
107,5	68,3553410213	54,7762671514	36,1158305801	23,6158021434
108	68,3553410213	54,8407795784	36,1401148917	23,6622486572
108,5	68,3999207053	54,9703272211	36,1644044245	23,8481830153
109	68,3999207053	54,8730679145	36,1886991922	23,7319104094
109,5	68,3999207053	54,8085126721	36,1886991922	24,1268737041
110	68,3553410213	54,6474980474	36,2129992081	23,9642408426
110,5	68,3999207053	54,7118400913	36,2129992081	23,6622486572
111	68,3553410213	54,8407795784	36,2373044859	23,8946089987
111,5	68,3553410213	54,8407795784	36,2373044859	23,7086908787
112	68,3553410213	54,8407795784	36,2861302128	23,9874496028
112,5	68,3553410213	54,8407795784	36,2618143276	23,7551289027
113	68,3553410213	54,8730679145	36,3104514006	23,6854702985
113,5	68,3999207053	54,905642648	36,359109738	23,4065467209
114	68,4441880474	54,937974153	36,359109738	23,7086908787
